1. ["agave syrup", "agave nectar", "agave sweetener", "blue agave syrup", "organic agave syrup"]
2. ["malt beverage", "malt liquor", "alcoholic malt drink", "malt beer", "flavored malt beverage"]
3. ["sweetened malt beverage", "sweet malt liquor", "flavored malt beverage", "alcopop drink", "sweet malt drink"]
4. ["alfalfa sprouts", "raw alfalfa sprouts", "sprouts alfalfa", "fresh alfalfa sprouts", "alfalfa sprout"]
5. ["low sodium almond butter", "reduced sodium almond butter", "unsalted almond butter", "no salt almond butter", "almond butter low salt"]
6. ["unsweetened almond milk", "almond milk unsweetened", "no sugar almond milk", "plain almond milk", "unsweetened almond beverage"]
7. ["almond oil", "sweet almond oil", "almond cooking oil", "almond oil edible", "food grade almond oil"]
8. ["almond paste", "baking almond paste", "almond filling", "almond paste can", "almond paste tube"]
9. ["almonds", "whole almonds", "almond nuts", "almond kernels", "shelled almonds"]
10. ["raw almonds", "unroasted almonds", "almonds raw", "natural almonds", "unsalted raw almonds"]
11. ["aloe vera drink", "aloe drink", "aloe juice", "aloe beverage", "aloe vera juice drink"]
12. ["anisette toast", "anise toast", "anisette biscotti", "anise cookie", "anise rusk"]
13. ["apple cider", "fresh apple cider", "unfiltered apple cider", "non alcoholic apple cider", "cider apple"]
14. ["apple juice drink light", "light apple drink", "apple cocktail light", "apple beverage light", "50 percent apple juice"]
15. ["100% apple juice calcium", "apple juice with calcium", "calcium fortified apple juice", "apple juice 100 percent", "fortified apple juice"]
16. ["apple pie filling", "pie filling apple", "canned apple pie filling", "apple filling", "apple pie mix"]
17. ["dried apples", "apple chips", "dehydrated apples", "dried apple slices", "dried apple rings"]
18. ["unsweetened applesauce", "no sugar applesauce", "applesauce unsweetened", "no added sugar applesauce", "plain applesauce"]
19. ["apricot nectar", "apricot juice drink", "apricot beverage", "nectar apricot", "canned apricot nectar"]
20. ["dried apricots", "apricot dried", "apricot halves dried", "apricot rings", "unsulfured dried apricots"]
21. ["apricots", "fresh apricot", "apricot raw", "apricot fruit", "raw apricot"]
22. ["artichoke", "artichoke hearts", "fresh artichoke", "globe artichoke", "artichoke vegetable"]
23. ["canned asparagus", "asparagus canned cooked", "asparagus spears canned", "canned asparagus no fat", "asparagus from can"]
24. ["asparagus", "raw asparagus", "fresh asparagus", "asparagus spears", "asparagus raw"]
25. ["avocado dressing", "avocado salad dressing", "avocado vinaigrette", "creamy avocado dressing", "avocado ranch dressing"]
26. ["sliced avocado", "avocado slices", "avocado for sandwich", "sandwich avocado", "pre sliced avocado"]
27. ["avocado", "avocado raw", "fresh avocado", "hass avocado", "whole avocado"]
28. ["baby food apple stage 1", "baby puree apple stage 1", "stage 1 apple puree", "infant apple puree", "apple baby puree"]
29. ["baby food apple stage 2", "baby puree apple stage 2", "stage 2 apple puree", "infant apple stage 2", "apple baby food stage 2"]
30. ["baby food banana stage 1", "baby puree banana stage 1", "stage 1 banana puree", "infant banana puree", "banana baby puree"]
31. ["baby food banana stage 2", "baby puree banana stage 2", "stage 2 banana puree", "infant banana stage 2", "banana baby food stage 2"]
32. ["baby snack bar", "toddler snack bar", "infant cereal bar", "baby fruit bar", "baby bar snack"]
33. ["baby food beef", "baby puree beef", "infant beef puree", "beef baby food", "meat baby food beef"]
34. ["baby food beets", "baby puree beets", "infant beet puree", "beet baby food", "beets baby puree"]
35. ["baby food carrots stage 1", "baby puree carrots stage 1", "stage 1 carrot puree", "infant carrot puree", "carrot baby puree stage 1"]
36. ["baby food carrots stage 2", "baby puree carrots stage 2", "stage 2 carrot puree", "infant carrot stage 2", "carrot baby food stage 2"]
37. ["baby cereal", "infant cereal", "baby rice cereal", "baby oatmeal cereal", "baby grain cereal"]
38. ["baby cereal barley", "barley baby cereal", "infant barley cereal", "dry barley cereal", "barley cereal baby"]
39. ["baby cereal multigrain", "multigrain baby cereal", "infant multigrain cereal", "dry multigrain cereal", "mixed grain baby cereal"]
40. ["baby oatmeal cereal", "baby oatmeal", "infant oatmeal cereal", "dry oatmeal cereal", "oat baby cereal"]
41. ["baby rice cereal", "infant rice cereal", "rice baby cereal", "dry rice cereal", "rice cereal baby"]
42. ["baby food chicken", "baby puree chicken", "infant chicken puree", "chicken baby food", "meat baby food chicken"]
43. ["baby crackers", "toddler crackers", "snack crackers baby", "baby teething crackers", "infant crackers"]
44. ["baby food green beans stage 1", "baby puree green beans stage 1", "stage 1 green bean puree", "infant green beans puree", "green beans baby puree"]
45. ["baby food green beans stage 2", "baby puree green beans stage 2", "stage 2 green bean puree", "infant green beans stage 2", "green beans baby food stage 2"]
46. ["baby food ham", "baby puree ham", "infant ham puree", "ham baby food", "meat baby food ham"]
47. ["baby juice", "infant juice", "toddler juice", "baby fruit juice", "juice for babies"]
48. ["baby apple juice", "infant apple juice", "apple juice baby", "apple baby juice", "toddler apple juice"]
49. ["baby juice fruit vegetable", "infant juice fruit veg", "baby juice blend", "toddler juice mixed", "fruit and vegetable baby juice"]
50. ["baby grape juice", "infant grape juice", "grape juice baby", "grape baby juice", "toddler grape juice"]
51. ["baby mixed fruit juice", "infant mixed fruit juice", "baby juice mixed fruit", "toddler mixed fruit juice", "fruit blend baby juice"]
52. ["baby pear juice", "infant pear juice", "pear juice baby", "pear baby juice", "toddler pear juice"]
53. ["baby food mango", "baby puree mango", "infant mango puree", "mango baby food", "mango baby puree"]
54. ["baby meat stick", "toddler meat stick", "infant meat stick snack", "baby snack meat", "meat stick baby"]
55. ["baby food mixed fruit stage 2", "baby puree mixed fruit stage 2", "stage 2 fruit blend baby", "infant mixed fruit puree", "stage 2 baby fruit"]
56. ["baby food mixed fruit stage 3", "baby puree mixed fruit stage 3", "stage 3 fruit blend baby", "infant fruit puree stage 3", "stage 3 baby fruit"]
57. ["baby food mixed vegetables stage 2", "baby puree mixed vegetables stage 2", "stage 2 veggie blend baby", "infant mixed veg puree", "stage 2 baby vegetables"]
58. ["baby food mixed vegetables stage 3", "baby puree mixed vegetables stage 3", "stage 3 veggie blend baby", "infant veg puree stage 3", "stage 3 baby vegetables"]
59. ["baby food peaches stage 1", "baby puree peaches stage 1", "stage 1 peach puree", "infant peach puree", "peach baby puree stage 1"]
60. ["baby food peaches stage 2", "baby puree peaches stage 2", "stage 2 peach puree", "infant peach stage 2", "peach baby food stage 2"]
61. ["baby food pears stage 1", "baby puree pears stage 1", "stage 1 pear puree", "infant pear puree", "pear baby puree stage 1"]
