1. ["agave syrup", "agave nectar", "liquid agave sweetener", "agave sweetener"]
2. ["malt beverage", "flavored malt drink", "malt liquor", "alcoholic malt beverage"]
3. ["sweetened malt beverage", "sweet malt drink", "sweet alcopop", "flavored malt beverage sweet"]
4. ["alfalfa sprouts", "raw alfalfa sprouts", "fresh alfalfa sprouts", "alfalfa sprouts raw"]
5. ["almond butter low sodium", "almond butter reduced sodium", "almond butter less salt", "almond butter no salt added"]
6. ["almond milk unsweetened", "unsweetened almond milk", "almond milk no sugar added", "almond beverage unsweetened"]
7. ["almond oil", "sweet almond oil", "almond cooking oil", "almond oil culinary"]
8. ["almond paste", "marzipan paste", "almond filling", "almond paste baking"]
9. ["almonds", "whole almonds", "raw almonds", "almond nuts"]
10. ["raw almonds", "almonds unroasted", "natural almonds", "almonds raw"]
11. ["aloe vera juice", "aloe drink", "aloe beverage", "aloe vera drink"]
12. ["anisette toast", "anise toast", "anise cookie toast", "anisette biscotti"]
13. ["apple cider", "fresh apple cider", "non alcoholic apple cider", "cold cider"]
14. ["apple juice drink light", "apple beverage 50 percent juice", "light apple juice cocktail", "apple juice 40 percent light"]
15. ["apple juice 100 percent calcium", "fortified apple juice", "apple juice calcium added", "100 percent apple juice with calcium"]
16. ["apple pie filling", "canned apple filling", "apple filling", "pie filling apple"]
17. ["dried apples", "apple slices dried", "dehydrated apples", "dried apple"]
18. ["unsweetened applesauce", "applesauce no sugar added", "apple sauce unsweetened", "unsweetened apple sauce"]
19. ["apricot nectar", "apricot juice nectar", "nectar apricot drink", "apricot beverage"]
20. ["dried apricots", "apricots dried", "dehydrated apricots", "dried apricot"]
21. ["fresh apricots", "raw apricots", "apricot fresh", "apricot raw"]
22. ["artichoke", "globe artichoke", "artichoke hearts", "fresh artichoke"]
23. ["canned asparagus", "cooked canned asparagus", "asparagus canned no oil", "asparagus canned drained"]
24. ["raw asparagus", "fresh asparagus", "asparagus spears raw", "asparagus fresh"]
25. ["avocado dressing", "avocado salad dressing", "avocado ranch", "creamy avocado dressing"]
26. ["avocado slices for sandwich", "sliced avocado sandwich", "avocado for sandwich", "avocado topping sandwich"]
27. ["fresh avocado", "raw avocado", "hass avocado", "avocado fruit"]
28. ["baby food apples stage 1", "infant apples puree stage 1", "first foods apples", "apple puree stage 1"]
29. ["baby food apples stage 2", "toddler apples puree stage 2", "second foods apples", "apple puree stage 2"]
30. ["baby food bananas stage 1", "infant banana puree stage 1", "first foods banana", "banana puree stage 1"]
31. ["baby food bananas stage 2", "toddler banana puree stage 2", "second foods banana", "banana puree stage 2"]
32. ["toddler snack bar", "baby cereal bar", "toddler fruit bar", "baby snack bar"]
33. ["baby food beef", "toddler beef puree", "infant beef jar", "beef puree baby"]
34. ["baby food beets", "toddler beet puree", "infant beets puree", "beet puree baby"]
35. ["baby food carrots stage 1", "infant carrot puree stage 1", "first foods carrot", "carrot puree stage 1"]
36. ["baby food carrots stage 2", "toddler carrot puree stage 2", "second foods carrot", "carrot puree stage 2"]
37. ["baby cereal", "infant cereal", "toddler cereal", "baby rice oatmeal cereal"]
